10/12/2015,Amazon,5,Remington is quality,"My husband has a short, well kept beard and has a few beard trimmers but none are Remington so he was excited to give it a go. I personally swear by my Reminton ladies shaver so I already knew Remington has quality products.  The main thing and most important thing for my husband is that this is waterproof. He does like to shave in the shower, we do have a little shower mirror in there.  This shaver has a great hand feel, not too light, not too heavy and doesn't slip when wet. It has a 3 hour charge. It doesn't take my husband 3 hours to trim his beard (thank goodness) but it's nice for my husband because he travels overnight for his job and sometimes forgets his charger. This has titanium coated blades which give it a quality feel and smooth grooming experience. There are a total of 11 attachments including a nose hair trimmer!  It all packs up nicely in a zip up bag. My husband is always on the lookout for quality products that make his shaving/grooming easier and doesn't irritate his skin. He said this one ranks up there with the best.  My uncle has a full on beard, like thick and a few inches long and my husband suggested we get him this for Christmas."
10/13/2015,Amazon,5,Top-notch grooming kit by Remington,"This 11 piece shaving set is perfect for the guy who likes to have a beard but doesn't want to spend a lot of time and money on grooming. I got this for my son who lives overseas, so he could use it when he visits me. It is handy and lightweight but gets the job done. He really likes the nose, ear and eyebrow hair trimmer attachment too.  It uses a lithium battery and the charge lasts for 3 hours. All of the 11 pieces fit neatly into a zippered case which is included, so it is a great grooming kit for travel as well. Since it is 100% waterproof, it may be used in the shower also which is a real plus for guys on the go!"
10/15/2015,Amazon,5,makes trimming/shaping beard much easier,"I find this trimmer to be much easier to use than the integrated trimmed on my Braun shaver.  The battery seems to last for days without any noticeable slowdown.  Going on almost a week now.  The blade is quite sharp, making quick work of the very thick hairs I have.  I am quite happy thus far with how this produce handles and performs.  Inwill nm provide regular updates to let you know how this trimmer has held up over time.  Hopefully it will last as long as my Panasonic combo shaver/trimmer which I've had for almost 10 years now."
10/17/2015,Amazon,5,"Great shaver, most people will want the Remington Crafter (not the Beardsman)","Remington has 2 new product lines, each with Regular vs Deluxe: The Craftsman (Regular vs Deluxe Copper Edition), and The Beardsman (Regular vs Deluxe Copper Edition).  The Copper editions are more sleek looking (with the copper finish), come with more accessories, and the heads are a little heavier duty. Plus, the Copper editions are only about $10 more expensive, which is probably worth it.  The Beardsman is for thicker beards - it has a detail trimmer on the shaver unit, but otherwise, most of the attachments are comb trimmers for long thick beards. The Crafter has much more versatile features. It seems to have basically the same comb attachments as the Beardsman, plus lots of extras: A mini roil shaver, nose & ear trimmer, in addition to the comb attachments.  Also, for the same price, the Crafter gives you 60 minutes more battery life with a Max Lithium Battery (3 hrs vs. 2 hrs). I suspect most people will want the Crafter.  Both models have titanium coated blades, which really makes a difference. Titanium is stronger, stays sharp longer, and more resistant to clogging & rust. This makes either of these Remington products super to most other shavers out there.  Finally, these Remington ""Beard Boss"" products aren't just for beards. The Crafter's heavy duty blades work for trimming hair, shaving heads, ""manscaping"" other body parts, and work great for simple goatees as well."
10/19/2015,Amazon,4,"Clean, sharp cuts!","Nice little tool. Grip is nice, carrying pouch is good too (I travel a great deal).  This will replace my Wahl hair clipper, which I've been using for trimming."
10/20/2015,Amazon,5,The perfect multi-angle groomer.,"The perfect multi-angle groomer. The Remington Crafter may hide its mustache trimmer attachment under the name ""arc detailer,"" but Remington, we know what it is--its a mustache trimmer and it works pretty darn well. Ditto the nose hair trimmer attachment. When I stuck it up my nose I was afraid I would lope something valuable off, but I should not have been afraid--it did the job swiftly and efficiently, and no blood involved.  The exchange of heads can be a bit fiddly, but overall, this is a great multi-tool for keeping one's hair in check.  Recommended."
10/20/2015,Amazon,5,Lots of attachments,"I got this beard trimmer for my 22 yr. old son. He is always on the run and likes to shave as quickly as possible. He likes that this is water proof, because he can use it in the shower when he is in a rush. This has a lot of attachments so he can trim his beard and mustache to the right length.  It holds a charge for a long time, once it's charged up. He loves the zip up storage bag for the days that he stays at his girlfriend's house, or when he stays at one of his friends houses. I always liked Remington products, because they are very good quality. This is no different, so I now it will now be my son's favorite."
10/24/2015,Amazon,5,"Smooth shave, easily works on thick, curly hair","My husband tested this (since I'm not a bearded woman!) and is most impressed. He has a very thick and curly beard, coarse, and difficult to cut using the shears we had before, which he says pull. This provided a smooth shave, easily moving through his hair and not pulling or causing discomfort. He used several of the add-on parts, and all worked wonderfully. If you or someone in your family has been looking for the appliance to help control facial hair, this is it. Recommended."
10/28/2015,Amazon,5,Nice Shaver and Options,"I got this shaver to replace a smaller size Wahl that lasted about 4 years and then would not charge again. Right out of the box I was impressed with the style and amount of attachments for trimming all parts of your mustache, beard or side burns. The nose/ear trimmer actually work much better than the round style with the blades located inside the top. This one has the sliding vs. rotating blades, which give a better cut. The foil trimmer is also great for the side burns to leave a clean look. I pretty much use the mid size attachment as I keep my beard and mustache short. Some of the designs and pictures on the box are quite impressive; however, I do not suspect that I will grow a beard or mustache like those anytime soon. The battery life so far has been holding up. 5 days of use so far and I have not charged it. The carry case is very nice and will hold all the accessories and charger for travel. A nice quiet sound and easy to grip handle. Very impressive shaver that I am sure will give many years of service."
11/2/2015,Amazon,4,Great trimmer,"This Remington is a great trimmer. It bills itself as being for beards, but it's really just a typical multi-trimmer. It comes with different heads to swap out for trimming different areas in varying styles, and multiple combs to select for hair length. The nose/ear trimmer is something I never thought I'd need, but passing 40 educated me otherwise; the shape of this accessory is different from my old Remington and works a lot better.  I prefer my Philips Norelco QT4022 for pure beard/mustache trimming, but this Remington is a great overall trimmer. With all the attachments it takes up more space on the counter, but the battery life really seems to be no joke. I left it off the charger for a week and it still roared through trimming my goatee with no problem. Of course, new batteries haven't suffered self-discharge for as long, and I've learned to expect battery life to shorten dramatically after a couple years, but that's true of all trimmer (and battery) manufacturers.  If you've ever used a Remington, you'll get the same great quality trimmer with the same heads and combs. But they've improved the performance just enough that upgrading from your old trimmer is worth the cost. I really like this set. And if versatility is your thing, this is what you need."
11/3/2015,Amazon,3,"Jack of all Trades, Master of One","I currently have a Panasonic ER-GB80-S trimmer as well as a Remington PG6250 Wettech Head, Beard and Body Grooming trimmer which is my favorite of the two.  So, I was excited to get this update to my Remington, especially since the Remington Crafter included a variety of attachments that I could use.  However, the excitement was short lived once I started using the Crafter.  While it has a lot of different uses thanks to the different attachments, I found that it only excelled at trimming hair and not as a nose hair trimmer or as a shaver using the foil.  Whats in the box? In the box along with the trimmer and the power cord are six comb attachments, a mini foil shaver, a nose and hair trimmer and a detail trimmer (which is basically just a narrower trimmer head).  A storage bag is also included.  Ergonomics and design The design of the Remington Crafter is nice.  It is smaller than the offerings by Panasonic and has a narrower trimming head which makes it easier to use around your ears and nose.  It has a good weight and fits very well in an adult's hands.  The body of the trimmer is covered in a soft rubber material which is nice for maintaining your grip on the trimmer but terrible otherwise because pieces of hair stick to the material.  Granted, small pieces of hair will be found on most trimmers after you use them, but the Remington Grafter seems to attract more.  It is impossible to brush or blow the hair off and so you need to wash the trimmer under the sick to clean it up which conveniently you can do.  Adjustments You adjust the trimming length by switching between the different combs.  The combs are snapped on and off of the trimming head.  This works well for my Remington Wettech trimmer, but not for the Crafter.  I found that it takes a bit of pressure to release the comb which usually causes the trimming head to pop off of the body which is a bit of a pain, especially if the body is wet and water gets introduced inside the trimmer.  You can interchange between the nose trimmer attachment, the foil attachment and the detail trimmer attachment by pulling one attachment off of the body and then pressing the new attachment one and turning it until it is secured in place.  This is not always straightforward because the mechanism inside of the body which causes the blades to move can rest on one side of the opening and it must be moved over before you can lock the attachment into place.  The nose trimmer attachment is long compared to dedicated nose hair trimmers such as the Panasonic ER430K.  While the trimmer does a good job around the ears, I dont think it excels as a nose hair trimmer.  The cutting edge is only on the top rather than all around the front of the attachment as is the case for the Panasonic ER430K.  Cutting speed There are two blade speeds which you toggle between by pressing the power button.  I usually use the power boost option when trimming hair regardless of how thick the hair is that I am cutting.  Maintenance The instructions indicate that you should oil the blades regularly.  However, unlike the Panasonic trimmers, no oil was provided.  The Crafter does come well oiled to the point that there was excess oil on the side of the trimmer when I opened the box.  Conclusions Overall, this is a nice trimmer.  However, due to the difficulty in swapping combs, my preference for a dedicated nose hair trimmer and that the trimmer comes apart when I want to change combs, I prefer the lower cost Remington PG6250 over the Crafter."
11/3/2015,Amazon,4,Remington PG6170 Trimmer,Used the Remington PG6170 the other day for trimming some facial hair and eye brows (at that age when the eyebrows are trying to get out of control!).  The product worked well and liked the following features:  - Easy to turn on and adjust speed. - Easy to grip. - Effective trimming. - Ample attachments for different applications. - Nice storage pouch for the trimmer and attachments.  Other trimmers I've had needed to be stored in a bulky box and took up too much room. - Was not loud like other trimmers I've had. -  Attachments were easy to install and take off.  A good product and I look forward to many years of use.
11/9/2015,Amazon,3,Some attachments don't work for me.,"When I received  the Remington eleven piece grafter style detail kit, I was hoping it was better than the Remington PG-180 that I own.  Out of the eleven attachments I will only be using the adjustable comb unit.  The mini foil and nose and ear hair attachments do not work for me.  The standard trimming head unit works better that my old unit.  I have to make multiple passes with the old trimming unit to cut all the hair, but with this new one it cuts in one pass.  Next time I will just purchase the main unit without all the attachments."
11/25/2015,Amazon,5,One tool that does everything you need for a beard,"I'm very pleased with this for all of the facial grooming I need to have a well maintained beard. It has a clipper and adjustable comb guard to cut the beard to the desired length. Without the comb, the clipper can cut a clean edge. It also has a smaller edger for doing the mustache. The only let down is the foil shaver. It's really small and only does on OK job. But I can live with that tradeoff for the convenience of everything being in one tool."
2/3/2016,Amazon,4,Great product!,"This is a great razor! My husband loves it! I was a little worried about some of the negative reviews that I read, but decided to purchase it anyway.  I have not found any faults with it except the price. I found it $20.00 cheaper in a couple of stores, and that is the only reason I gave it a 4 star."
2/23/2016,Amazon,4,Brush????,"Overall the trimmer works great, all the attachments are easy to interchange, charging is a snap. The nose trimmer is awful and a cleaning brush needs to be included.  I figured that was a lock, but apparently not.  That's why it only got 4 stars"
2/29/2016,Amazon,5,... Valentine's Day gift for my boyfriend and he's absolutely satisfied with his gift,Bought this as a Valentine's Day gift for my boyfriend and he's absolutely satisfied with his gift.
3/10/2016,Amazon,5,Great buy,Works very well.  Worth the money
3/20/2016,Amazon,5,Excellent Beard Trimmer,"So much quieter than the P*****s that it replaced. Much easier to clean.and operate. Much longer lasting battery charge. Has a good, quality feel to it. If you need a beard trimmer, this is the one."
3/20/2016,Amazon,5,Five Stars,Good
3/27/2016,Amazon,5,"Honestly, its great, especially for the price.'",Very pleased honestly. A lot of additional trim pieces that actually get the job done. Yee yee!!
3/31/2016,Amazon,3,Three Stars,"Underpowered, no cleaning brush included."
4/10/2016,Amazon,5,Best multi unit set I ever bought,"Best multi unit set I ever bought! Easy on and off adapters plus a bag to store it.  Since I grow hair everywhere - it was nice to have an accessory for my nose, ears, and facial hair.  The adjustable hair trimmer locks into place with a push button."
4/10/2016,Amazon,5,From a girl who appreciates a good looking beard,"Okay gents, if you want a swoon-worthy beard that will make the women take a second look, buy this thing. My boyfriend loves it (as do I). I got it for him for Christmas 4 months ago and every time he uses it he talks about how well it works. He has a beard and mustache and when he trims it up with this it looks pretty much perfect as if he went to a barber. All the parts included are awesome and the adjustable lengths are great if you want to use this for your beard, hair, or back of the next (he's a hair boy). So glad I chose this trimmer, not to mention it's one stylish looking trimmer. The battery life is good and I actually enjoy trimming him up now. Perfect for touch-ups that leave your beard smooooooth and sexy ."
4/18/2016,Amazon,5,"Good Trimmer, Excellent Nose Trimmer...","I like this beard trimmer. I only use it to shave my head before using my cartridge razor if I have let my hair get too long, and to trim nose and ear hair. I love the nose and ear trimmer, it does a great job at getting all of the hair in those areas, and trims the hair to a very short length.  The normal speed of the trimmer seems slow, so I use the boost speed so that it has a similar speed to other trimmers that I have used."
4/21/2016,Amazon,1,Terrible!!!,Worst feeling ever and battery that has to be charged for hours before every use. Asked and received a refund from Amazon.
4/23/2016,Amazon,5,Five Stars,Works as promised I've been very happy so far
4/26/2016,Amazon,5,This is an amazing package! The guards all do a good job ...,"This is an amazing package! The guards all do a good job of staying put and not clogging the trimmer too much. The battery holds a charge that makes my phone blush in envy. I have used it both at my sink and in the shower, and wet or dry, it performs well without being damaged by water. Easy to clean attachments make for quick use. One of my favorite features is the nose hair trimmer. I've tried multiple methods of nose hair removal from another dedicated nose hair trimmer, which was far from adequate, and even plucking them out with tweezers, which is effective, but requires more manliness than most have at their disposal to perform. The nose hair trimmer that comes with this does an incredible job of trimming nose hairs incredibly short, and I've never once felt the blades pinch the nose hairs, nor nick the inside of my nose."
5/26/2016,Amazon,5,Five Stars,This performs better than any other trimmer I have ever owned. But I did have some crummy trimmers.
5/29/2016,Amazon,5,Five Stars,Works great and love the cordless option
6/5/2016,Amazon,5,Five Stars,Great item
6/6/2016,Amazon,5,Five Stars,Perfect mini trimmet!
6/6/2016,Amazon,5,Five Stars,Works great.
6/6/2016,Amazon,1,Stopped working after 35 days. Used it 3 times.,What a piece of garbage. I used it 3 times and it stopped working. Battery shows as fully charged and it will not turn on. Of course I am a few days past the 30 day return policy. Do yourself a favor and do not buy this PoS.
6/7/2016,Amazon,4,Great product,"This trimmer kit is truly a great value. The trimmer itself seems to be of a high quality. I had been looking to purchase a new trimmer so I did a bit of research and for the price, I felt this was the best deal. I'm in the process of seeing how much I can grow my beard in a year, but having the ability to ""edge"" my beard and keep the growth vertical instead of horizontal is great. The battery life on the trimmer is great. Charged it fully when I got it and haven't had to plug it in yet. The guards are great and having all the options that Coke with this trimmer is handy. The bag it came with leaves a little to be desired, and by that I mean it's cheap. But there is nothing wrong with it being cheap to keep cost down. After all, it does what it's supposed to. All in all, I believe this trimmer is a great purchase for anyone...bearded or not. And for all the extras, I believe the price point is very good."
6/8/2016,Amazon,5,Five Stars,So good and so cheap
6/11/2016,Amazon,5,Five Stars,"Bought for father's day but gave them to him early,  he loves it...and these hold a charge for days!"
6/12/2016,Amazon,5,Works good.,It is what was advertised. Works good.
6/12/2016,Amazon,5,Good product,Nice product. Works really well.
6/14/2016,Amazon,5,Five Stars,Awesome.
6/18/2016,Amazon,5,Nice beard trimmer.,Good quality product. Plenty of attachments to get any job done. Very pleased with the look and packaging of the product. The beard boss is boss.
6/24/2016,Amazon,4,Really like it.,"This replaced a Remington trimmer that finally died.  Taking a little while to get used to this one.  Of course it works great, it's a Remington!"
6/26/2016,Amazon,4,Butta,Works great so far already shaved off my big man beard with it......way to hot for a beard at the moment......cut through it like butter
6/26/2016,Amazon,5,"Nice trimmer, easy to use","Nice trimmer, easy to use, and I like that it's rechargeable...no cords to hassle with when using it...lots of great attachments for any desireable facial hair length!!"
6/27/2016,Amazon,4,Four Stars,Good product so far.
6/28/2016,Amazon,5,Five Stars,"Best sheer I have ever bought in my lifetime, real value for your money."
6/28/2016,Amazon,5,clean cut,great trimmer for a mans face with mustaches or beards
7/5/2016,Amazon,5,Great product,So far I love it. It has 2 speeds and that it pretty cool. Comes with all the tools you might need
7/9/2016,Amazon,2,Dont waste your money!!,"I bought this for a bday gift for my husband , after a monh of use it started making a loud noise !! I cant return it now so im not happy!!!"
